 ID,Date,Parameter/Paramètre,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation
05BH004,2022-04-01 0:00,47,39.9,-1,,Final/Finales
05BH004,2022-04-01 0:05,47,39.9,-1,,Final/Finales
05BH004,2022-04-01 0:10,47,39.7,-1,,Final/Finales
05BH004,2022-04-01 0:15,47,39.6,-1,,Final/Finales
05BH004,2022-04-01 0:20,47,39.5,-1,,Final/Finales
05BH004,2022-04-01 0:25,47,39.5,-1,,Final/Finales
05BH004,2022-04-01 0:30,47,39.5,-1,,Final/Finales
05BH004,2022-04-01 0:35,47,39.4,-1,,Final/Finales
05BH004,2022-04-01 0:40,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 0:45,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 0:50,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 0:55,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 1:00,47,39.3,-1,,Final/Finales
05BH004,2022-04-01 1:05,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:10,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:15,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:20,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:25,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:30,47,39.2,-1,,Final/Finales
05BH004,2022-04-01 1:35,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 1:40,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 1:45,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 1:50,47,39,-1,,Final/Finales
05BH004,2022-04-01 1:55,47,39.1,-1,,Final/Finales
05BH004,2022-04-01 2:00,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:05,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:10,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:15,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:20,47,39,-1,,Final/Finales
05BH004,2022-04-01 2:25,47,39,-1,,Final/Finales
